threshold,signal_yield,background_yield,signal_efficiency,background_efficiency,signal_over_background,signal_over_sqrt_background,asimov_significance,background_neff
0.0001582213872739485,184878.0,392045.0,1.0,1.0,0.47157341631700445,295.2686066310727,8.25417298771364,392045.0
0.000438520090283852,184878.0,391468.0,1.0,0.9985282301776581,0.47226848682395495,295.4861304816846,8.264950607455582,391468.0
0.0005302469352725284,184878.0,390891.0,1.0,0.9970564603553164,0.4729656093386647,295.7041357900049,8.275756733123886,390891.0
0.0006419093989610929,184878.0,390314.0,1.0,0.9955846905329745,0.4736647929615643,295.92262433472047,8.286591479136902,390314.0
0.0007278663199469033,184878.0,389737.0,1.0,0.9941129207106327,0.4743660468469763,296.14159790373134,8.297454960552589,389737.0
0.0007912023508176742,184878.0,389160.0,1.0,0.9926411508882909,0.47506938020351525,296.3610582942123,8.308347293049385,389160.0
0.0008317180182686346,184878.0,388583.0,1.0,0.9911693810659491,0.4757748022944905,296.5810073126747,8.319268592937673,388583.0
0.0008637309030624209,184878.0,388006.0,1.0,0.9896976112436072,0.4764823224383128,296.80144677502904,8.330218977139895,388006.0
0.0008916390004289642,184878.0,387429.0,1.0,0.9882258414212655,0.47719195000890485,297.0223785066477,8.341198563246955,387429.0
0.0009190400391625406,184878.0,386852.0,1.0,0.9867540715989236,0.4779036944361151,297.2438043424288,8.35220746945169,386852.0
0.000945040085954761,184878.0,386275.0,1.0,0.9852823017765817,0.4786175652061355,297.46572612685975,8.363245814634498,386275.0
0.0009702722942182979,184878.0,385698.0,1.0,0.98381053195424,0.47933357186192305,297.6881457140821,8.374313718296177,385698.0
0.000993380231356271,184878.0,385121.0,1.0,0.9823387621318981,0.48005172400362484,297.91106496795675,8.385411300596779,385121.0
0.0010139520930198423,184878.0,384547.0,1.0,0.9808746444923414,0.48076828060029075,298.1333228285972,8.396480750412993,384547.0
0.0010336991211776583,184878.0,383968.0,1.0,0.9793977732148095,0.48149324943745314,298.35802145995245,8.407676622352593,383968.0
0.0010510096846963668,184878.0,383391.0,1.0,0.9779260033924677,0.48221789243878965,298.58245011771635,8.418863915988481,383391.0
0.0010677373412507866,184878.0,382815.0,1.0,0.9764567842977209,0.4829434583284354,298.8069957160382,8.430061908144586,382815.0
0.0010827616783424638,184878.0,382239.0,1.0,0.9749875652029741,0.4836712109439382,299.03204867855453,8.441290084405292,382239.0
0.001099839702607014,184878.0,381660.0,1.0,0.9735106939254422,0.48440496777236286,299.25878705865745,8.452607285777658,381660.0
0.0011168738494650888,184878.0,381084.0,1.0,0.9720414748306955,0.4851371351198161,299.484863167876,8.463896360342819,381084.0
0.0011317244927748092,184878.0,380506.0,1.0,0.9705671542807586,0.48587407294497326,299.71224008692195,8.47525534995906,380506.0
