architecture,n_seeds,parameters,validation_auc_mean,validation_auc_std,validation_auc_min,validation_auc_max,validation_ap_mean,validation_ap_std,validation_ap_min,validation_ap_max,eps_b_at_eps_s_50_mean,eps_b_at_eps_s_50_std,eps_b_at_eps_s_50_min,eps_b_at_eps_s_50_max,eps_b_at_eps_s_70_mean,eps_b_at_eps_s_70_std,eps_b_at_eps_s_70_min,eps_b_at_eps_s_70_max,eps_b_at_eps_s_80_mean,eps_b_at_eps_s_80_std,eps_b_at_eps_s_80_min,eps_b_at_eps_s_80_max,eps_b_at_eps_s_90_mean,eps_b_at_eps_s_90_std,eps_b_at_eps_s_90_min,eps_b_at_eps_s_90_max,background_rejection_at_eps_s_50_mean,background_rejection_at_eps_s_50_std,background_rejection_at_eps_s_50_min,background_rejection_at_eps_s_50_max,background_rejection_at_eps_s_70_mean,background_rejection_at_eps_s_70_std,background_rejection_at_eps_s_70_min,background_rejection_at_eps_s_70_max,background_rejection_at_eps_s_80_mean,background_rejection_at_eps_s_80_std,background_rejection_at_eps_s_80_min,background_rejection_at_eps_s_80_max,background_rejection_at_eps_s_90_mean,background_rejection_at_eps_s_90_std,background_rejection_at_eps_s_90_min,background_rejection_at_eps_s_90_max,best_epoch_mean,best_epoch_std,best_epoch_min,best_epoch_max,training_time_seconds_mean,training_time_seconds_std,training_time_seconds_min,training_time_seconds_max
very_deep,5,116417,0.9390572985200002,0.0001705748307377045,0.93880352825,0.93925771155,0.932253489829878,0.00018432520351093778,0.9320299588539336,0.9325025130191928,0.02233,0.00012288205727444573,0.02222,0.02253,0.057148,0.0002685516710057855,0.05675,0.05737,0.094906,0.00045445571841489814,0.09422,0.0954,0.17157,0.000939441323340639,0.17031,0.17257,44.78388361774246,0.2453712962913996,44.38526409232135,45.00450045004501,17.498735158391717,0.08246496718141413,17.43071291615827,17.621145374449338,10.536935371785784,0.05057843617793118,10.482180293501049,10.613457864572275,5.828664839201859,0.03196925392547445,5.794749956539375,5.871645822323998,42.6,6.308724118235001,37.0,52.0,134.58173742294312,17.213170055341955,119.32383108139038,160.85265731811523
wide,5,48001,0.93896887983,0.00019428336358192396,0.93875175425,0.9392642061,0.9321939208503942,0.00020533410315969378,0.9319507456128376,0.9324898620639848,0.022224,7.368853370776245e-05,0.02213,0.02229,0.05734,0.00022282279955157164,0.05716,0.0577,0.095078,0.000585679093019377,0.09434,0.09591,0.172226,0.0004477499302065826,0.17146,0.1726,44.99679652257087,0.14937744513895718,44.86316733961417,45.187528242205154,17.440042583507154,0.06755239650751098,17.33102253032929,17.49475157452764,10.517999080759893,0.06470495064017584,10.426441455531227,10.5999576001696,5.806355730522204,0.01513694176507863,5.793742757821553,5.832264084917765,38.6,5.941380311005179,32.0,47.0,124.74456782341004,17.4383024294961,105.00750470161438,149.96740341186523
baseline,5,13761,0.93863600643,0.00019891879987415088,0.93838385095,0.93884136625,0.9319222086446569,0.00026039437155316747,0.9315749725982564,0.9321914315955212,0.02231,0.0001676305461424019,0.02207,0.02252,0.057338,0.00030540137524248223,0.05701,0.05773,0.095254,0.00046928669275827584,0.09493,0.09607,0.17293799999999998,0.0008369707282814538,0.1715,0.17359,44.82497761070444,0.3374351125614584,44.40497335701599,45.31037607612144,17.44083641371064,0.09282214754455713,17.322016282695305,17.540782318891424,10.49844948935825,0.05142835329036726,10.409076714895388,10.534077741493732,5.78252806680996,0.0281355151030989,5.760700501180944,5.830903790087463,48.6,9.316651759081692,37.0,59.0,144.88219532966613,17.388171924041327,118.67779088020325,159.4394931793213
