architecture,hidden_layers,dropout,parameters,best_epoch,training_time_seconds,validation_auc,validation_ap,eps_s_50,eps_b_at_eps_s_50,background_rejection_at_eps_s_50,threshold_at_eps_s_50,eps_s_70,eps_b_at_eps_s_70,background_rejection_at_eps_s_70,threshold_at_eps_s_70,eps_s_80,eps_b_at_eps_s_80,background_rejection_at_eps_s_80,threshold_at_eps_s_80,eps_s_90,eps_b_at_eps_s_90,background_rejection_at_eps_s_90,threshold_at_eps_s_90
very_deep,256-256-128-64-32,0.2,116417,50,133.27287769317627,0.93912335665,0.9324374940443417,0.49993,0.02221,45.02476361999099,0.9086918830871582,0.70003,0.05693,17.565431231336728,0.7973653674125671,0.80001,0.09448,10.584250635055039,0.6845439672470093,0.9,0.17194,5.815982319413749,0.46495383977890015
large,512-256-128-64,0.2,186241,39,125.38715267181396,0.939117607,0.9323312031550468,0.49989,0.02214,45.16711833785005,0.8975861072540283,0.70004,0.05719,17.485574401119077,0.782072901725769,0.80001,0.0953,10.493179433368311,0.6655182838439941,0.90001,0.17212,5.809900069718801,0.4466992914676666
wide,256-128-64,0.15,48001,34,112.52402758598328,0.9389016157500001,0.9320852847196203,0.50001,0.02216,45.12635379061372,0.8960171937942505,0.69999,0.0572,17.482517482517483,0.7806666493415833,0.80002,0.09534,10.488777008600797,0.6645008325576782,0.9,0.1726,5.793742757821553,0.4527522325515747
deep,256-128-64-32,0.15,50113,39,123.14029717445374,0.9388446637000001,0.9319883940127703,0.49999,0.02232,44.80286738351255,0.8969968557357788,0.69994,0.0579,17.271157167530223,0.7803540825843811,0.8,0.09557,10.463534581981794,0.6661140322685242,0.9,0.17266,5.791729410401945,0.46233493089675903
bottleneck,128-64-16,0.1,12673,37,121.80118727684021,0.9386114085,0.9318666363553647,0.50003,0.02234,44.76275738585497,0.8882467746734619,0.70001,0.05732,17.445917655268666,0.7713444232940674,0.8,0.09492,10.535187526337968,0.6603794097900391,0.9,0.17346,5.7650178715554015,0.4523636996746063
baseline,128-64-32,0.15,13761,48,127.57435154914856,0.9385173945999999,0.9316967176977026,0.50004,0.02255,44.34589800443459,0.9072631001472473,0.7001,0.05719,17.485574401119077,0.8053967356681824,0.80002,0.09574,10.444955086693126,0.703965425491333,0.89999,0.17305,5.778676683039584,0.4894396960735321
shallow,64-32,0.1,3777,48,124.96527767181396,0.93807801615,0.9312805998111786,0.50005,0.02266,44.1306266548985,0.9028052091598511,0.7,0.0578,17.301038062283737,0.7957788705825806,0.80001,0.09608,10.407993338884264,0.6825379133224487,0.9,0.17385,5.752085130859936,0.4772864878177643
tiny,32,0.1,833,50,127.58136773109436,0.9335554948,0.926895996726885,0.5001,0.0244,40.983606557377044,0.8917729258537292,0.70005,0.06209,16.105653084232564,0.7779587507247925,0.8,0.10264,9.742790335151987,0.6606234312057495,0.90001,0.18574,5.383869925702595,0.44581761956214905
