model,test_events,signal_events,background_events,roc_auc,average_precision,eps_b_at_eps_s_50,rejection_at_eps_s_50,eps_b_at_eps_s_70,rejection_at_eps_s_70,eps_b_at_eps_s_80,rejection_at_eps_s_80,eps_b_at_eps_s_90,rejection_at_eps_s_90
Final wide NN,576570,185017,391553,0.9428368775890431,0.8801139116709169,0.021100591746200388,47.39203582667635,0.05413826480706316,18.47122370034909,0.08813110868771278,11.346731192766894,0.1608288022311156,6.217791752020707
BDT,576570,185017,391553,0.9364064538864877,0.8684687216992975,0.024157649156052948,41.39475631673538,0.06073251896933493,16.465643397813288,0.0981425247667621,10.189263037368587,0.1780550781120308,5.616239708540119
ParticleNet,10000,5000,5000,0.9007054200000001,0.8842562257204877,0.0496,20.161290322580644,0.1056,9.46969696969697,0.159,6.289308176100628,0.263,3.8022813688212924
