process,class,events_total,events_selected,yield_total,yield_selected,efficiency,sumw2_selected,neff_selected,selected_background_fraction
H_to_gg,signal,184878,1705,212.60969999999992,1.96075,0.009222297947835873,0.0022548624999999996,1705.0000000000002,0.0
qq,background,392045,26,199289541.66666657,13216.666666666668,6.63189174712087e-05,6718472.222222222,26.000000000000007,1.0
