threshold,signal_yield,background_yield,signal_events,background_events,signal_efficiency,background_efficiency,signal_over_background,signal_over_sqrt_background,signal_neff,background_neff,asimov_z_bkg_syst_0pct,asimov_z_bkg_syst_1pct,asimov_z_bkg_syst_5pct,asimov_z_bkg_syst_10pct
7.402077050407832e-05,212.60969999999992,199289541.66666657,184878,392045,1.0,1.0,1.0668382205204364e-06,0.015060549592009706,184877.99999999988,392044.9999999994,0.015060546914075329,0.0,0.0,0.000109244206433717
0.0001607153813399872,212.60969999999992,199090274.99999988,184878,391653,1.0,0.9990001147827416,1.0679060039472046e-06,0.015068084653578699,184877.99999999988,391652.9999999993,0.015068081971939665,0.0,0.0003311491694673577,0.00016459985472325634
0.00018444182140517728,212.60969999999992,198996233.33333322,184878,391468,1.0,0.9985282301776581,1.068410675109931e-06,0.015071644671764254,184877.99999999988,391467.9999999993,0.015071641986787917,0.0,9.646687008944183e-05,4.476966003539842e-05
0.00021464553231845897,212.60969999999992,198891516.66666657,184878,391262,1.0,0.9980027802930787,1.0689731948513643e-06,0.015075611770849966,184877.99999999988,391261.99999999936,0.015075609085874644,0.00023688936191879368,0.0,0.0002050172259707238
0.00026111583980640245,212.60969999999992,198702924.99999988,184878,390891,1.0,0.9970564603553163,1.0699877719464877e-06,0.01508276430887956,184877.99999999988,390890.99999999924,0.015082761618280588,0.0,0.0,0.0
0.00026345125176297575,212.60969999999992,198691741.66666657,184878,390869,1.0,0.9970003443482254,1.0700479960394262e-06,0.015083188768411788,184877.99999999988,390868.9999999993,0.015083186077263323,0.0002455537722258234,0.00019672886278893146,0.0
0.00030530955964610016,212.60969999999992,198492474.99999988,184878,390477,1.0,0.996000459130967,1.0711222176054787e-06,0.01509075787853067,184877.99999999988,390476.99999999924,0.015090755182988873,0.0,0.0,0.0
0.0003192068130905671,212.60969999999992,198409616.66666657,184878,390314,1.0,0.9955846905329745,1.0715695316179651e-06,0.0150939085940798,184877.99999999988,390313.9999999993,0.015093905895500649,0.0002091048222208856,0.0002702887564070842,0.0002489895253607248
0.0003375457755447034,212.60969999999992,198293208.33333322,184878,390085,1.0,0.9950005739137089,1.072198598161771e-06,0.015098338395187552,184877.99999999988,390084.99999999936,0.015098335694872737,0.00027477700014996026,0.0,0.0
0.00035967351739242624,212.60969999999992,198116308.33333322,184878,389737,1.0,0.9941129207106326,1.0731559748341433e-06,0.015105077618559087,184877.99999999988,389736.9999999993,0.015105074918189656,0.0,0.0,0.0
0.0003623345107173637,212.60969999999992,198093941.66666657,184878,389693,1.0,0.9940006886964506,1.0732771442236182e-06,0.015105930347060393,184877.99999999988,389692.99999999936,0.015105927642780619,0.0,0.0002646897967603439,0.00028838985191116954
0.00038282361906548336,212.60969999999992,197894674.99999988,184878,389301,1.0,0.9930008034791923,1.074357862332577e-06,0.015113533762928191,184877.99999999988,389300.99999999924,0.015113531056492302,0.00010694546188475217,0.00010721562473296692,0.0
0.0003902318934587415,212.60969999999992,197822999.99999988,184878,389160,1.0,0.9926411508882907,1.074747122427625e-06,0.0151162714739846,184877.99999999988,389159.9999999993,0.015116268764990911,0.00028732042080524176,6.122549279268929e-05,0.00033230275654828206
0.00040313139395158813,212.60969999999992,197695408.33333322,184878,388909,1.0,0.9920009182619342,1.0754407590565774e-06,0.015121148671671447,184877.99999999988,388908.9999999993,0.01512114596006283,5.8237111240968536e-05,0.0,9.261895080685419e-05
0.00041611541611627967,212.60969999999992,197529691.66666657,184878,388583,1.0,0.9911693810659491,1.076342995354749e-06,0.015127490252499735,184877.99999999988,388582.9999999993,0.015127487536738737,0.0,0.0,0.0
0.00041837167133172395,212.60969999999992,197497158.33333322,184878,388519,1.0,0.9910061344998661,1.0765202993005091e-06,0.015128736162620835,184877.99999999988,388518.99999999936,0.015128733447980854,0.0,0.0,0.0
0.00043318423326311643,212.60969999999992,197296874.99999988,184878,388125,1.0,0.9900011478274177,1.0776131147540986e-06,0.015136413083816603,184877.99999999988,388124.9999999993,0.015136410364548727,0.00017999875121338434,0.000260761663914469,0.0003229380376881929
0.0004374465345928698,212.60969999999992,197236383.33333322,184878,388006,1.0,0.9896976112436072,1.077943614696511e-06,0.015138734046727314,184877.99999999988,388005.99999999936,0.015138731324458693,0.0002040257599616994,0.0,0.0
