threshold,signal_yield,background_yield,signal_events,background_events,signal_efficiency,background_efficiency,signal_over_background,signal_over_sqrt_background,signal_neff,background_neff,asimov_z_bkg_syst_0pct,asimov_z_bkg_syst_1pct,asimov_z_bkg_syst_5pct,asimov_z_bkg_syst_10pct
7.402077050408503e-05,682.569576,1186262829.1666663,184878,392045,1.0,1.0,5.753948949740725e-07,0.01981784674214172,184877.9999999999,392044.99999999994,0.019817844838867952,0.00054545941420338,0.000336952829501697,0.0005401468571690607
0.0001607153796775473,682.569576,1185076702.4999998,184878,391653,1.0,0.9990001147827419,5.75970799662227e-07,0.01982776196432233,184877.9999999999,391653.00000000006,0.019827760060991136,0.0,0.0004949729403838994,0.0002474275172494056
0.000184441821405175,682.569576,1184516923.333333,184878,391468,1.0,0.9985282301776582,5.762429920200635e-07,0.01983244651413703,184877.9999999999,391468.0,0.019832444611032483,0.0,0.0005792318327876943,0.0
0.00021464553231847878,682.569576,1183893601.6666663,184878,391262,1.0,0.9980027802930787,5.765463847757007e-07,0.019837666732775882,184877.9999999999,391261.99999999994,0.01983766481995608,0.00015686158512245955,0.0,0.0
0.0002611158398063988,682.569576,1182771017.4999998,184878,390891,1.0,0.9970564603553165,5.770935928432995e-07,0.019847078600624516,184877.9999999999,390891.0000000001,0.019847076690411324,0.00045573026096154513,0.000159908183999651,0.00037104909217403157
0.00026345107751503714,682.569576,1182704449.1666663,184878,390869,1.0,0.9970003443482254,5.771260744651283e-07,0.01984763713760928,184877.9999999999,390869.0,0.019847635233502275,0.0,0.0,0.0003530968941715461
0.0003053095318540974,682.569576,1181518322.4999998,184878,390477,1.0,0.9960004591309672,5.777054515377607e-07,0.019857597163529576,184877.9999999999,390477.0000000001,0.019857595253624495,0.0006382032454780535,0.00031062690233526704,0.0
0.00031920681309059235,682.569576,1181025111.6666663,184878,390314,1.0,0.9955846905329745,5.779467085477596e-07,0.019861743120986132,184877.9999999999,390313.99999999994,0.019861741211663415,0.0004468214471106765,0.0,0.0005665340909782845
0.0003375457406720124,682.569576,1180332195.833333,184878,390085,1.0,0.995000573913709,5.782859930530787e-07,0.019867572199062947,184877.9999999999,390085.0,0.01986757028551173,0.0,0.0,0.00043023099082813024
0.00035967351739243236,682.569576,1179279205.833333,184878,389737,1.0,0.9941129207106327,5.788023503031794e-07,0.019876440195222195,184877.9999999999,389737.00000000006,0.01987643827457381,0.00020074786213095396,0.0,0.0
