process,class,events_total,events_selected,yield_total,yield_selected,efficiency,sumw2_selected,neff_selected,selected_background_fraction
H_to_gg,signal,184878,1705,682.569576,6.29486,0.00922229794783587,0.02324062312000001,1704.9999999999993,0.0
qq,background,392045,26,1186262829.1666663,78671.66666666666,6.631891747120868e-05,238047351.3888889,25.999999999999993,1.0
