threshold,signal_yield,background_yield,signal_efficiency,background_efficiency,background_neff,s_over_b,asimov_z_bkg_syst_0,asimov_z_bkg_syst_0.0001,asimov_z_bkg_syst_0.01,asimov_z_bkg_syst_0.05,asimov_z_bkg_syst_0.1
0.007,682.1117680001636,677574858.333771,0.9993292874222153,0.5711844303591287,223930.00000085423,1.0066958058000402e-06,0.026204557347657247,0.009392668978780374,0.00010066880394067684,2.0133903416833592e-05,1.0066953937014628e-05
0.0075,682.0748480001636,671471752.5003575,0.999275197698181,0.5660396127998524,221913.00000079526,1.0157908288179262e-06,0.026321951689559843,0.00947839907294128,0.00010157829210507301,2.0315803646365348e-05,1.0157904092353872e-05
0.008,682.0526960001636,665843702.5002836,0.9992427438637604,0.5612952594730036,220053.0000007409,1.0243435410427616e-06,0.02643210236026215,0.009541649828737434,0.00018972119754869443,2.0486857672010845e-05,0.0002181329187517014
0.0085,682.0194680001636,660584804.1668812,0.9991940631121297,0.5568620949127546,218315.0000006901,1.0324480122734815e-06,0.026535813565808607,0.0096253890616536,0.00012225878760192946,0.00037568780873337403,0.00018759420385695152
0.009000000000000001,681.9899320001635,655383396.6668129,0.9991507913329023,0.5524773941768122,216596.00000063988,1.040596901704663e-06,0.026639751576684998,0.009687012625960953,0.00037412345635203886,2.081192446408616e-05,1.0405964613692331e-05
0.0095,681.9567040001635,650529960.0000825,0.9991021105812714,0.5483860271143038,214992.000000593,1.048309449114499e-06,0.026737640262541426,0.009740288244722239,0.0001494784586061361,0.0005481998026406577,0.0002739234079556222
0.01,681.9050160001635,645682575.0000188,0.9990263849676235,0.5442997615069857,213390.00000054616,1.0560994556809027e-06,0.026835783247892847,0.009839256524514268,0.00010560909058369652,0.00038345243019419787,0.0003291596637614793
0.0105,681.8754800001635,640941094.1666232,0.998983113188396,0.5403027713654953,211823.00000050038,1.0638660653936767e-06,0.026933695011108434,0.009902077477273025,0.0002862323450920556,2.1277307123079396e-05,1.0638656051311452e-05
0.011,681.8459440001635,636453783.333231,0.9989398414091687,0.5365200423419918,210340.00000045702,1.0713204349720495e-06,0.027027305314405507,0.009961131498994562,0.0004733013803235338,2.1426394314876894e-05,1.0713199682332791e-05
0.0115,681.8016400001635,632148022.4998411,0.9988749337403277,0.532890356974193,208917.00000041543,1.0785474536548674e-06,0.027117432740584847,0.01002419198975149,0.00010785385351934789,0.00035826680334552735,0.00041515252919628235
0.012,681.7757960001635,628054069.9997873,0.9988370709335036,0.5294392225380498,207564.0000003759,1.0855367850739258e-06,0.02720464000931274,0.010075872258906866,0.00039772531380057616,2.1710720931905937e-05,1.0855363058568962e-05
0.0125,681.7314920001635,624066021.6664016,0.9987721632646626,0.5260773635677343,206246.00000033737,1.0924028361290711e-06,0.02728965269399777,0.010141964412137319,0.00010923936861577377,0.0004270770454166456,0.00042902717671177624
0.013000000000000001,681.7019560001635,620080999.1663493,0.9987288914854352,0.5227180553250139,204929.00000029884,1.099375657239391e-06,0.027376016170221052,0.01020694368898048,0.00010993663897031625,0.00019329617752775668,0.0003833017627302663
0.0135,681.6834960001635,616071769.99963,0.9987018466234181,0.519338341261533,203604.00000026016,1.1065001339057832e-06,0.027464205819435025,0.010262412874124346,0.0002465187343204539,2.2129987331617317e-05,0.00018802751277178283
0.014,681.6428840001635,612510364.1662499,0.9986423479269804,0.5163361348821238,202427.00000022576,1.1128675102959555e-06,0.027542293620152945,0.010312160361145732,0.0001112858013110482,2.2257334681856235e-05,1.1128670066268133e-05
0.0145,681.6133480001635,609030655.8328708,0.998599076147753,0.5134027981477819,201277.0000001921,1.119177403423204e-06,0.02761966640464171,0.010387752139648569,0.00011191677978380089,0.0004077779391473358,0.0003302673924444946
0.015,681.5727360001634,605793014.1661617,0.9985395774513153,0.5106735196210462,200207.00000016086,1.125091772374279e-06,0.02769172421499117,0.010422572937181233,0.00011250820644454676,2.2501819579737973e-05,1.1250912575697329e-05
0.0155,681.5432000001634,602591682.499453,0.9984963056720879,0.5079748498254516,199149.00000012995,1.131019925753426e-06,0.0277639811411257,0.01047154705645662,0.00029220831474408064,2.262038247933953e-05,1.1310194055054715e-05
0.016,681.5099720001634,599520461.6660793,0.9984476249204571,0.5053858613164455,198134.00000010026,1.1367584854505778e-06,0.027833647803398646,0.010524820406515634,0.0001136748574272161,0.00027046212173672683,0.00013480973392900937
0.0165,681.4767440001634,596479499.1660393,0.9983989441688262,0.5028223800833901,197129.0000000709,1.142498183010417e-06,0.02790314759213459,0.010572209875281251,0.00011424881710264003,2.2849947296600785e-05,1.1424976521399793e-05
0.017,681.4324400001634,593374994.1659986,0.9983340364999852,0.5002053335708381,196103.0000000409,1.148401005603432e-06,0.027974227421255833,0.010632775396631784,0.000114839088926805,2.296800357843289e-05,1.148400469226952e-05
0.0175,681.3844440001634,590482297.4992939,0.9982637198587407,0.49776683798994154,195147.00000001298,1.1539455914018796e-06,0.028040689589909986,0.01065533815231538,0.0003179886586068105,0.00038258686317081165,1.153945049826666e-05
0.018000000000000002,681.3622920001634,587719711.6659243,0.9982312660243201,0.49543802369563356,194233.99999998626,1.1593320395342943e-06,0.02810560140865299,0.010710715341362037,0.00011593217286840258,2.318662393998985e-05,1.1593314928880888e-05
0.0185,681.3142960001634,584805834.165886,0.9981609493830756,0.49298167302157153,193270.99999995812,1.1650265031502776e-06,0.028173549715312923,0.010762106780186286,0.00011650160900596045,0.0002564314416828604,1.1650259511137823e-05
0.019,681.2699920001634,582009964.1658493,0.9980960417142345,0.4906248007237176,192346.99999993114,1.1705469561446012e-06,0.0282393024747548,0.010806738531922764,0.00011705364434824573,2.341092194351565e-05,0.00024445199533482245
0.0195,681.2183040001634,579444057.499149,0.9980203161005866,0.4884617837230898,191498.99999990634,1.1756411946655677e-06,0.02829961107876097,0.010851751428045953,0.00011756305895327324,0.0001081305362587933,0.0002590996287576257
0.02,681.1887680001633,576869073.3324485,0.9979770443213593,0.4862911145396767,190647.99999988146,1.180837731627876e-06,0.0283614718087047,0.010894566507578063,0.00011808270320916779,0.0003590148455580489,0.00017916507579265843
0.0205,681.1481560001633,574360657.4990822,0.9979175456249215,0.4841765613633554,189818.99999985725,1.1859241177243268e-06,0.02842164151912087,0.010939088374226877,0.00011859133251995472,0.0003371540768873931,0.00016820914725824152
0.021,681.1186200001633,571791724.9990485,0.9978742738456942,0.4820109936351325,188969.99999983242,1.1912005547147379e-06,0.028484180802663916,0.01097931999112589,0.00029932035952133984,0.00016796701045030977,0.00044426720184360664
0.021500000000000002,681.0632400001633,569510246.6656852,0.9977931392596427,0.4800877450284422,188215.9999998104,1.1958753051197727e-06,0.02853885746199909,0.011024402083013642,0.00011958643294055224,2.3917488168970682e-05,0.000285384559555879
0.022,681.0484720001633,566980649.9989853,0.9977715033700291,0.4779553367589553,187379.99999978597,1.201184682407384e-06,0.028601829750112277,0.011073068405370725,0.00023702072518148954,2.4023675554946202e-05,1.201184095531416e-05
