epoch,training_loss,validation_auc
1,0.3239200029746154,0.943186122599985
2,0.29937995758226854,0.9454240223999858
3,0.29313850520691387,0.9471441751999863
4,0.28819955110203377,0.949145085399987
5,0.2849745464128304,0.9501720953999873
6,0.2815686607792819,0.9517252215999876
7,0.2787063275538283,0.952362897199988
8,0.2762423802302196,0.9528922049999882
9,0.2739574093417794,0.9531871335999881
10,0.27236421724412363,0.9542380977999885
11,0.2712612079552921,0.9542760285999885
12,0.2704577610413161,0.9540199845999884
13,0.269129843968945,0.9548103315999887
14,0.26842619722079614,0.9549008945999886
15,0.26799265311511655,0.9554375727999888
16,0.2666361325005467,0.955967926799989
17,0.26554824183840936,0.9556190349999888
18,0.26521706654133076,0.955954010599989
19,0.2644630612347981,0.9560390311999889
20,0.26424684879468163,0.956341824999989
21,0.26318521399891764,0.955996233599989
22,0.26369136709077795,0.9563694203999891
23,0.26282584750232824,0.9565265503999891
24,0.26234967609732146,0.9566405341999892
25,0.26155987799814395,0.9566657209999891
26,0.26114217713497895,0.9567122509999891
27,0.2613923228101734,0.9569594541999891
28,0.260396220998284,0.9573415041999893
29,0.25966201155534585,0.9572707173999894
30,0.25903820978008707,0.9573743859999894
