epoch,train_loss,train_accuracy,seconds
1,0.462621733028136,0.847840628803025,17.3306622505188
2,0.4415532669288227,0.8545526284335884,16.94048571586609
3,0.4367096528970482,0.8558212089273296,16.103559255599976
4,0.43436664819551607,0.8565709481484701,17.91590166091919
5,0.43263189136070074,0.8572442873131085,17.87094497680664
6,0.4313094986910946,0.8576357951582059,19.680383682250977
7,0.43052494749737713,0.8577284938934284,18.643386125564575
8,0.42985366709706513,0.8580992888343185,18.086851119995117
9,0.42913277034799313,0.8582897796418637,18.955089569091797
10,0.4285609116557576,0.8583475041289986,18.08415722846985
11,0.4278400668016893,0.8583899486048331,16.203502655029297
12,0.4274773474197229,0.8584126988438804,18.276911735534668
13,0.426858171758466,0.8588758529641863,15.449978351593018
14,0.4265866498870876,0.8589804361526425,16.7377347946167
15,0.4260305745711081,0.8591960540898818,18.10199546813965
16,0.4257741262916066,0.8592853572670376,16.566932678222656
17,0.42529432212361373,0.8595006356484701,18.233689069747925
18,0.42481930970482434,0.8594520791681154,17.609376907348633
19,0.4246618384611955,0.8596137077320932,17.31106185913086
20,0.42438461220148377,0.8594381573800417,18.05280089378357
21,0.4240810624084154,0.8596710926634215,19.18591046333313
22,0.4239730176739965,0.8597573398383171,17.650833129882812
23,0.42349912559870057,0.8599247408510083,18.91698145866394
24,0.42361307285093963,0.8596867122305285,19.082667112350464
25,0.42314061742167147,0.8599549613178025,17.32406449317932
26,0.4230120955488446,0.8598323816715925,19.434006929397583
27,0.42279042686971735,0.8599841631171766,19.368640184402466
28,0.42263863978697624,0.8599108190629347,20.324860095977783
29,0.42251642199650263,0.8601148921027468,19.51408815383911
30,0.42235844738791817,0.8602075908379694,19.350954294204712
31,0.42214780001381674,0.8601498663508345,18.182467460632324
32,0.42209036414082757,0.8603091180241655,17.486526489257812
33,0.422096342428669,0.8602018183892559,20.6586434841156
34,0.4219410807433148,0.8602507144254172,20.088402032852173
35,0.4217754931128241,0.8602167588447497,18.60339069366455
36,0.4215958515941185,0.860130511669854,18.062639713287354
37,0.4215849164215348,0.860169221031815,18.775208234786987
38,0.4214635113764539,0.8600785596314325,18.63765549659729
39,0.4212477627069131,0.8601817845966621,18.810065746307373
