epoch,train_loss,val_loss,val_auc,val_ap
1,0.3923197040955226,0.3466791302013397,0.9252073040000001,0.9175148939514456
2,0.3477161265909672,0.33879856997489927,0.9287885453,0.9213147893597365
3,0.3425624240189791,0.33418888960838317,0.9307865836,0.9235414458455945
4,0.33856842045982677,0.3307761473464966,0.9321206671,0.9248184642869397
5,0.3357984696825345,0.3284993122386932,0.93293754175,0.9256697418147314
6,0.33328931654493016,0.32687904054641725,0.93362945985,0.9263971934986636
7,0.3314779295275609,0.32447399972915647,0.9346353017000001,0.9274889415186769
8,0.3291575163602829,0.3225443189907074,0.9352956779,0.9280925884872788
9,0.3275440925111373,0.3219313709259033,0.9354878163,0.928369473241927
10,0.3269963972270489,0.3203391165161133,0.93624185575,0.929380432016514
11,0.32643320721884567,0.3202133650493622,0.9362585514499999,0.9294573933705208
12,0.32451761203507584,0.31931786794662476,0.9367284526999999,0.9297489511768836
13,0.3243545064081748,0.3188165510368347,0.93686051225,0.9299820297323274
14,0.3239153337975343,0.3181888758659363,0.9371653399500001,0.9302769291498904
15,0.3228367517391841,0.3178965113067627,0.93731564655,0.9304854599416931
16,0.32249384249250096,0.31752072224617006,0.9374084442,0.930566257951021
17,0.32171455087761086,0.31743685309410097,0.93733498985,0.9305470517684503
18,0.32122456406553584,0.3169684624099731,0.93766386085,0.9308360617505886
19,0.3206379438440005,0.31590968098640443,0.93789019985,0.9311768362234788
20,0.31993659461538,0.3164489483547211,0.9378433775000001,0.9310241938390846
21,0.3201631276557843,0.31679425617218016,0.93773159505,0.9306661130774874
22,0.31933200110991794,0.3154094685268402,0.9380454326,0.9310813201424492
23,0.3191357509543498,0.3156114678955078,0.93799186975,0.9311304767455291
24,0.31864246167242527,0.31537729864120484,0.9381486968499999,0.9312186511029674
25,0.3185313070813815,0.31534822066307067,0.9381958664999999,0.9314557424848396
26,0.31812379136681557,0.3148332019710541,0.93829431205,0.931449390329788
27,0.3169800726075967,0.31501861028671263,0.9381719447000001,0.931317996434725
28,0.31739445962011814,0.3148053273296356,0.9382608878,0.9313777077505061
29,0.3178095755477746,0.31519211847305295,0.93829199485,0.9316185541405766
30,0.3167345343778531,0.3144376600837708,0.9385208567000001,0.9317939664531956
31,0.31641986158986884,0.31577542135238645,0.93856649155,0.9316629931920763
32,0.3161781995246808,0.31423755009651183,0.9386965947,0.9319086697697847
33,0.3159315555046002,0.3152457661628723,0.9385813639,0.931566490227549
34,0.31657747241357964,0.31359869805336,0.93873802835,0.9319396699415445
35,0.3150959685444832,0.31352638979911807,0.9387009633,0.931863504329702
36,0.3154019055267175,0.3135940023517609,0.93884504335,0.9320931128395787
37,0.3156189409395059,0.31358851685523986,0.93884314775,0.931994451643681
38,0.3150133478144805,0.3128846331977844,0.9389487418,0.932207499037404
39,0.3147631548345089,0.31286639899253843,0.9389797683500001,0.9322027068146931
40,0.3139712183425824,0.31361670962333676,0.93891966265,0.9321808985260538
41,0.3134232343484958,0.31312407344818116,0.9388191264000001,0.9318998833401232
42,0.313708105434974,0.31363929900169374,0.9387456524,0.931929892171861
43,0.3135510707894961,0.3136497177028656,0.93880761155,0.931961452247309
44,0.3134131270150344,0.3130617451953888,0.93901146005,0.9322109413067735
45,0.31382433511316776,0.31331992218971255,0.9388265172999999,0.9320280241030184
46,0.3127753057827552,0.3136188512706757,0.9386741153000001,0.9314906089659781
