epoch,train_loss,val_loss,val_auc,val_ap
1,0.6110112058619658,0.4902683369636536,0.88435392635,0.8723706926434368
2,0.4401864136258761,0.40293065928459165,0.9091285979499999,0.8992997325801606
3,0.3862197833756606,0.37050413025856016,0.9172101771000001,0.9085824892620228
4,0.3669926294436057,0.3587435745239258,0.92056775555,0.9124804472790183
5,0.35962020109097165,0.35359441923141477,0.9223984002000001,0.9144312217858446
6,0.35547288817663986,0.3505367688846588,0.9236306422499999,0.91570273416995
7,0.35281746834516525,0.34799263374328615,0.9247088610500002,0.9167373238308469
8,0.3511785492300987,0.34625954155921934,0.9254373459499999,0.9176189936497708
9,0.3489392213523388,0.3447182244300842,0.92615074255,0.9183189447558483
10,0.347801698371768,0.34362743545532226,0.9266393324500001,0.9188437010063426
11,0.34686289976040524,0.34267863575935364,0.9270101906,0.9193321976191418
12,0.3459704990188281,0.34160801193237306,0.92756207575,0.9199131141392087
13,0.3452320775638024,0.3406548224544525,0.9278589118,0.9203111758196304
14,0.34396512371798355,0.3395230116939545,0.9283993663,0.9208810101800065
15,0.343496215219299,0.33868614923477175,0.9286875032999999,0.921267574510874
16,0.34215872300167877,0.33753464953422546,0.92930467075,0.92199512396239
17,0.3419705561051766,0.3370255214595795,0.9294625975999999,0.9222090899989775
18,0.3404795204599698,0.33640443727493285,0.92972176545,0.9224743990548402
19,0.3405518556634585,0.3358473072528839,0.9299617600000001,0.9227800499892004
20,0.33971849891046685,0.33583527742385866,0.9300278831500001,0.9228324083378648
21,0.33960116778810817,0.3353886869907379,0.9301015736,0.9229025383921403
22,0.33895185713966686,0.3347365160655975,0.9304283746500001,0.923288822309841
23,0.3382567086567481,0.3342797924518585,0.93070526905,0.9236423699294254
24,0.33873572138448554,0.3340259878063202,0.93071982505,0.9236818512509308
25,0.33798028466602165,0.3340636275100708,0.9306831491999998,0.9236000658239926
26,0.3377634373803933,0.3337389587020874,0.93081204205,0.9237241979074876
27,0.3372105074425538,0.33352729845046997,0.9309226611,0.9238600645167043
28,0.3369492006798585,0.33290770580291745,0.9312073552,0.9242320050607103
29,0.33702003955841064,0.33304050349235537,0.9311397312499999,0.9240628426953045
30,0.3367805251230796,0.332302262840271,0.9315665286999999,0.9246840195695002
31,0.336207523321112,0.3321455474090576,0.93155179045,0.9245364544247343
32,0.33603886142373085,0.3316206922531128,0.93188189195,0.9249301586406701
33,0.3360049556940794,0.3322485639095306,0.9314722772,0.9245294752166144
34,0.33573124061028164,0.3312235871696472,0.9318726829,0.9248476127927103
35,0.3354410839577516,0.33103466237068174,0.9320158141,0.9251062101507811
36,0.33507793210446835,0.3307694220352173,0.93208753515,0.9251325867914318
37,0.335442462315162,0.33035209288597106,0.9324090213999999,0.925583793148988
38,0.3346511156608661,0.33000448267936705,0.9325428488999999,0.9257366389293075
39,0.3345616838584344,0.3300176417732239,0.9324316976,0.9255859335121925
40,0.3341561978061994,0.32960292936325075,0.9327589541500001,0.9259689252244352
41,0.33390751977761585,0.32952458981513977,0.93259000565,0.9257214154335175
42,0.33380216484268505,0.3291573199558258,0.9329765862,0.9262031980872473
43,0.3335181102156639,0.32911788353919985,0.9328089306,0.926011739471938
44,0.33343695662915707,0.32878466512680055,0.93295983225,0.9260794026312302
45,0.3328242978701989,0.3288996911430359,0.9329898467,0.9262587280171022
46,0.3327346406877041,0.3282092870903015,0.9332951809499999,0.9265363123973244
47,0.3327041069666545,0.3281239537525177,0.93318388565,0.9263105272093587
48,0.3328624479472637,0.3278355529594421,0.9333668144999999,0.9265682783795144
49,0.3327243886888027,0.3282602911186218,0.9331427926,0.9262761894750328
50,0.3326639166722695,0.32744127136230466,0.9335556987500001,0.926809450544168
