epoch,train_loss,val_loss,val_auc,val_ap
1,0.3955401374648015,0.34974823424339296,0.9238939857499999,0.9163168917818691
2,0.3513541432718436,0.34242907442092896,0.92714703735,0.9195589991562342
3,0.3463614974170923,0.33879092413902284,0.92894086345,0.9213674494984989
4,0.3422292824834585,0.3338479290676117,0.930694088,0.9230660916230027
5,0.3387991301715374,0.33157180590629576,0.93183586655,0.924180468863751
6,0.33640754657487076,0.3307636201953888,0.9325267200499999,0.9248462544470073
7,0.3341609835624695,0.32947764517784117,0.9332124893,0.9255641165444812
8,0.33212502859532833,0.32821121539115905,0.9338938749000001,0.9262482969435701
9,0.3297883905470371,0.3272100169944763,0.9344519835,0.9268942120635827
10,0.32971105476220447,0.32575691230773923,0.93490086825,0.9274916071157752
11,0.3286693176875512,0.32750321599006654,0.93451695425,0.9271966567486046
12,0.3266554803897937,0.3246853094291687,0.9355904168000001,0.9281304546450522
13,0.3264908517400424,0.3250828927230835,0.9355663115499999,0.9282596905153385
14,0.32614357334872085,0.3276001704692841,0.93558486435,0.9282277773610151
15,0.3248123371352752,0.3252705012798309,0.9358367722500001,0.9285881508935637
16,0.3239950028558572,0.32174546106338503,0.9366383883,0.9293898035892647
17,0.3232136256992817,0.3227650116443634,0.9361133938499999,0.928769468832685
18,0.32287868733207387,0.32596870369911196,0.9362316479,0.9290290488523307
19,0.3222637145469586,0.325574244890213,0.9362651619,0.9290029026871489
20,0.3212055166562398,0.32679815797805783,0.9361680687,0.9290467604989081
21,0.3212220314890146,0.32546483538627624,0.9364746255499999,0.9291504146993831
22,0.3203056640923023,0.3193220883274078,0.93738766,0.9301895996010723
23,0.32049797164897126,0.3219368401908875,0.9367424545999999,0.9295734162625628
24,0.3203969020396471,0.321295207157135,0.9369096835999999,0.9296336516329603
25,0.3193642646074295,0.3236648265457153,0.9367899855499999,0.9296668500594919
26,0.31921656678120297,0.3260115633201599,0.93639931565,0.9291880158992346
27,0.3180924740930398,0.31736612838745115,0.9374546273500001,0.9302354727201204
28,0.31860710804661113,0.3196822652721405,0.9372379287,0.9299584357817323
29,0.31906796991825104,0.32612163412094114,0.93643966245,0.9292537161786849
30,0.3183622614790996,0.32427522574424744,0.9372195203,0.9301528932982301
