epoch,training_loss,validation_auc
1,0.39870480270385744,0.931991568750014
2,0.3330313185119629,0.9341029837500137
3,0.32983670864105225,0.9378779575000127
4,0.31966942565917966,0.9401806875000124
5,0.31713333114624026,0.9411842325000122
6,0.3118323077774048,0.9417770162500119
7,0.3091013394165039,0.9427904550000117
8,0.3080922137451172,0.9432589587500118
9,0.30428076820373534,0.9438449187500113
10,0.3000911512756348,0.9442604150000112
11,0.30564034965515136,0.9445597462500114
12,0.3031753502655029,0.9443073500000114
13,0.3044796706008911,0.9448588650000113
14,0.2987709135055542,0.9451820825000112
15,0.2997907349014282,0.945178943750011
