threshold,signal_yield,background_yield,signal_efficiency,background_efficiency,background_neff,s_over_b,asimov_z_bkg_syst_0,asimov_z_bkg_syst_0.0001,asimov_z_bkg_syst_0.01,asimov_z_bkg_syst_0.05,asimov_z_bkg_syst_0.1
0.0,73.84000000001255,60516666.66668329,1.0000000000001699,1.0000000000002744,20000.00000000512,1.2201597356098971e-06,0.009491920682289939,0.007490760880295778,0.000166510208266207,2.4403104137904642e-05,1.2201582312303024e-05
0.0005,73.83630800001255,48310455.0000066,0.9999500000001699,0.798300000000109,15965.99999999999,1.528371198325548e-06,0.010623051776902228,0.008722517069032574,0.00015847903528169098,3.0567281848857405e-05,1.528368837868402e-05
0.001,73.83630800001255,46461670.83333842,0.9999500000001699,0.767750000000084,15354.999999999214,1.589187531909239e-06,0.010832344064325601,0.008950665478722185,0.00012621090203305264,0.00012376404650939681,1.58918497986209e-05
0.0015,73.83261600001255,45351190.00000417,0.9999000000001699,0.7494000000000689,14987.999999998747,1.6280193750154243e-06,0.010963615468058328,0.00909331852869569,0.0001914135587607858,0.00010495236523225368,2.449240545673911e-05
0.002,73.82892400001255,44497905.00000347,0.9998500000001699,0.7353000000000574,14705.999999998388,1.659155054603285e-06,0.01106768108840518,0.009206119366060769,0.00014489691567929372,2.627180407990937e-05,0.0001330281396714075
0.0025,73.82892400001255,43753550.00000286,0.9998500000001699,0.7230000000000473,14459.999999998076,1.6873813439139847e-06,0.011161428176647281,0.009310094139020014,0.0001777452913963748,6.618925335006556e-05,1.687378466555771e-05
0.003,73.82892400001255,43130228.33333568,0.9998500000001699,0.7127000000000387,14253.999999997814,1.711767520204608e-06,0.011241791763521723,0.009396655858210368,0.00017561275625870408,3.4235172117683956e-05,1.711764559077874e-05
0.0035,73.82523200001255,42637017.500001945,0.9998000000001699,0.7045500000000321,14090.999999997606,1.7314820859599098e-06,0.011306060008819126,0.009465800903648756,0.00016199380128904006,0.00011577827362957588,1.7314790561318673e-05
0.004,73.82523200001255,42155910.00000155,0.9998000000001699,0.6966000000000255,13931.999999997404,1.751242755760932e-06,0.011370392572657881,0.0095376440099583,0.0001484236628203998,8.754239681640932e-05,1.7512396563820628e-05
0.0045000000000000005,73.82154000001255,41762551.66666789,0.9997500000001699,0.6901000000000203,13801.999999997239,1.7676491750127428e-06,0.011423244170900121,0.009592961658714046,0.0001224423719290604,3.5352793366424636e-05,3.862962734586934e-05
0.005,73.82154000001255,41360115.83333423,0.9997500000001699,0.6834500000000148,13668.99999999707,1.7848484829560365e-06,0.01147868395196325,0.009655681151534689,0.0001408977433643903,0.00012742593232903783,7.785906977444e-05
0.0055,73.82154000001255,40939525.00000055,0.9997500000001699,0.6765000000000091,13529.999999996895,1.8031850638230794e-06,0.011537496188228863,0.009718151271297255,0.00015123847195406065,8.627830625158749e-05,1.8031817777509424e-05
0.006,73.82154000001255,40670225.83333366,0.9997500000001699,0.6720500000000054,13440.99999999678,1.815124909867301e-06,0.011575631086308583,0.009759841627491286,0.00023080301546567685,5.783165002149283e-05,8.4787874889309e-05
0.006500000000000001,73.81784800001255,40355539.16666674,0.9997000000001699,0.6668500000000012,13336.99999999665,1.8291875049704535e-06,0.011620094787150132,0.00980711760466491,0.00017234332740487062,3.658354648761707e-05,0.0001143836566554876
0.007,73.81046400001254,40040852.499999814,0.9996000000001698,0.6616499999999969,13232.999999996515,1.8433789340527374e-06,0.011664500453876325,0.009857935989925327,0.00017733705802815995,7.913933018958645e-05,1.8433754995063946e-05
0.0075,73.79938800001254,39786682.499999605,0.9994500000001698,0.6574499999999934,13148.99999999641,1.854876641198051e-06,0.011699943430652891,0.009894845291198438,0.00018491652082668674,3.709732340634501e-05,3.905470143268498e-05
0.008,73.79569600001254,39535538.33333273,0.9994000000001698,0.65329999999999,13065.999999996304,1.8665661101620765e-06,0.011736458559637241,0.00993530755312311,0.00022591999755365295,3.7331110128363655e-05,1.866562588196356e-05
0.0085,73.79200400001254,39272290.833332516,0.9993500000001698,0.6489499999999865,12978.999999996193,1.8789839460391568e-06,0.01177513923496001,0.009977647048993128,0.00018639827405218868,0.00014324197384348657,0.00010478124391287202
0.009000000000000001,73.78831200001254,39051404.999999,0.9993000000001697,0.6452999999999834,12905.9999999961,1.8895174706265862e-06,0.011807803218821968,0.010012974750566042,0.00017569032382032355,0.00011553108052121992,1.889513861273989e-05
0.0095,73.78831200001254,38866829.16666552,0.9993000000001697,0.6422499999999809,12844.999999996022,1.8984906559678334e-06,0.011835807205635207,0.010044980135742584,0.00013617087173170455,3.7969593708537244e-05,1.8984870122527574e-05
0.01,73.78831200001254,38673175.833332025,0.9993000000001697,0.6390499999999784,12780.999999995942,1.9079972205544892e-06,0.01186540368871511,0.010076551939795245,0.00016310728101178015,9.502664841775443e-05,0.00012834241808039472
0.0105,73.78831200001254,38482548.33333187,0.9993000000001697,0.6358999999999757,12717.99999999586,1.917448692868928e-06,0.011894755649841604,0.010108116611690351,0.00017000713112736915,3.834875004269259e-05,6.986213932055922e-05
0.011,73.78831200001254,38282843.333331704,0.9993000000001697,0.6325999999999731,12651.999999995778,1.927451191582923e-06,0.011925740166378979,0.010141820822414696,0.00018972710685381838,3.854879767580318e-05,1.927447435853957e-05
0.0115,73.78831200001254,38049854.166664846,0.9993000000001697,0.6287499999999698,12574.99999999568,1.9392534772093255e-06,0.011962196627002234,0.01018163742633942,0.00017002325494109744,3.878484061024083e-05,2.1228565556636835e-05
0.012,73.78462000001254,37865278.33333136,0.9992500000001697,0.6256999999999674,12513.999999995602,1.94860894327727e-06,0.01199071628517794,0.010213139542099861,0.00022099538328253793,6.071169950904914e-05,1.948605104513377e-05
0.0125,73.78092800001254,37704909.16666456,0.9992000000001697,0.6230499999999652,12460.999999995536,1.9567989853491886e-06,0.012015587828622363,0.010238039234405933,0.00017614127753020037,3.913574659095592e-05,1.9567951141188814e-05
0.013000000000000001,73.77354400001254,37529410.833331086,0.9991000000001697,0.6201499999999628,12402.999999995462,1.96575278859672e-06,0.01204244388915524,0.010269264718462873,0.0001897296866607711,0.00010618890455019051,1.965748881595816e-05
0.0135,73.77354400001254,37378119.166664295,0.9991000000001697,0.6176499999999607,12352.999999995398,1.9737093691382826e-06,0.012066790757267843,0.01029517966920393,0.00018965336077610576,7.088544098027761e-05,1.9737054304454594e-05
0.014,73.76985200001253,37193543.33333081,0.9990500000001697,0.6145999999999583,12291.99999999532,1.9834047898820127e-06,0.012096089493915576,0.010326957175290327,0.00020816197400226957,0.00010573110154975388,1.9834008122648072e-05
0.0145,73.76985200001253,37066458.333330706,0.9990500000001697,0.6124999999999565,12249.999999995265,1.9902050348759e-06,0.012116807890418869,0.010348921505954935,0.00021861751389850445,3.980385952193003e-05,1.425376364470517e-05
0.015,73.76985200001253,36893985.833330564,0.9990500000001697,0.6096499999999542,12192.999999995192,1.9995088720765913e-06,0.012145096757358734,0.010379633725750296,0.00021793901815080256,8.08726728998307e-05,8.108933052818968e-05
0.0155,73.76616000001253,36697306.666663736,0.9990000000001696,0.6063999999999515,12127.999999995112,2.0101246304002627e-06,0.012176989601087568,0.01041386828823691,0.00019708946346743737,2.8361998420466892e-05,7.115503763940493e-05
0.016,73.76616000001253,36555092.49999695,0.9990000000001696,0.6040499999999496,12080.999999995052,2.017944832174031e-06,0.01220065331175775,0.010439653217803999,0.00020746689685268268,4.035864868692934e-05,2.0179407146760135e-05
0.0165,73.75877600001253,36415904.166663505,0.9989000000001697,0.6017499999999477,12034.999999994994,2.0254550226857774e-06,0.012222724018375977,0.010464867601708823,0.00018675357896843315,5.6887658519932126e-05,3.8921645662471366e-05
0.017,73.75508400001253,36270664.166663386,0.9988500000001697,0.5993499999999458,11986.99999999493,2.033463839016252e-06,0.012246558479813758,0.010490160470897411,0.00021070351259422853,4.066902496163392e-05,2.033459657522654e-05
0.0175,73.75508400001253,36113320.83332992,0.9988500000001697,0.5967499999999436,11934.999999994865,2.0423235055121834e-06,0.012273208185825574,0.010519811258272034,0.00020405549290666549,6.577858980195396e-05,0.00011715857866933468
0.018000000000000002,73.75139200001253,35937822.499996446,0.9988000000001697,0.5938499999999413,11876.999999994792,2.0521942307444984e-06,0.012302523222374219,0.010551000827851726,0.0002452514511512492,4.104362812437773e-05,2.05218997172119e-05
0.0185,73.75139200001253,35762324.16666297,0.9988000000001697,0.5909499999999388,11818.99999999472,2.0622650713725795e-06,0.01233267266739119,0.01058545143900603,0.00020707899945336938,4.124504241339494e-05,2.0622607704457042e-05
0.019,73.74770000001253,35577748.333329484,0.9987500000001697,0.5878999999999364,11757.99999999464,2.0728602414370662e-06,0.012364002976964373,0.010617638310955522,0.0002158505876389427,9.113462622989112e-05,2.072855896057691e-05
0.0195,73.74770000001253,35441585.83332937,0.9987500000001697,0.5856499999999345,11712.999999994583,2.080823932281833e-06,0.012387730730979101,0.010644187671173254,0.00022480492757895323,9.12139820404071e-05,2.0808195534494695e-05
0.02,73.74031600001253,35250958.333329216,0.9986500000001696,0.582499999999932,11649.999999994503,2.0918669870683272e-06,0.012419936598277252,0.010679908356299379,0.00019062314095520897,4.183707320251267e-05,2.0918625613381777e-05
0.0205,73.72924000001252,35081511.66666241,0.9985000000001696,0.5796999999999296,11593.999999994432,2.1016551595773065e-06,0.012448025109045002,0.010710849034378127,0.00022357341824176066,4.20328341165213e-05,3.957755852512753e-05
0.021,73.72554800001252,34918116.666662276,0.9984500000001696,0.5769999999999273,11539.999999994363,2.11138386138681e-06,0.012476490798111046,0.010740643331591075,0.00019505614399869327,4.2227405643713146e-05,2.1113793520829607e-05
0.021500000000000002,73.72185600001252,34788005.833328836,0.9984000000001695,0.5748499999999256,11496.999999994308,2.1191745325448606e-06,0.012499174746287627,0.010765934818477704,0.00020172365210846622,9.877985446320569e-05,0.00010183882942010013
0.022,73.72185600001252,34609481.66666202,0.9984000000001695,0.5718999999999232,11437.999999994236,2.1301057528124133e-06,0.012531370158968987,0.010800941847222327,0.00018675496914911935,4.260183862223004e-05,2.1301011630309595e-05
0.0225,73.71816400001252,34482396.66666192,0.9983500000001695,0.5697999999999215,11395.999999994181,2.1378491962910548e-06,0.012553812383587675,0.01082426329853008,0.00018582367973923509,8.62668614360135e-05,2.137844572923846e-05
0.023,73.71816400001252,34379518.3333285,0.9983500000001695,0.5680999999999201,11361.999999994137,2.14424656230707e-06,0.012572581547099873,0.010846428444771574,0.000246005041991241,0.00012808086613869064,6.462176757224347e-05
0.0235,73.71816400001252,34243355.83332839,0.9983500000001695,0.5658499999999183,11316.999999994081,2.152772770251217e-06,0.012597553026728327,0.010872256500550577,0.0001893829897664298,4.3055173043923124e-05,8.278171557118521e-05
0.024,73.71447200001252,34119296.66666162,0.9983000000001695,0.5637999999999166,11275.999999994028,2.1604921320678873e-06,0.012619802776000555,0.010896898946101996,0.00019914785781078627,4.320955823898281e-05,2.1604874100872296e-05
0.0245,73.71078000001252,34022469.999994874,0.9982500000001695,0.5621999999999152,11243.999999993988,2.1665322946871178e-06,0.012637114781887103,0.010916494848266449,0.00018934169904023202,0.0001239184324241927,8.702184816943787e-05
0.025,73.70708800001252,33871178.33332808,0.9982000000001695,0.5596999999999132,11193.999999993923,2.1761004968488874e-06,0.012664671904786196,0.010945629226424012,0.00020608172289572271,0.00010695509476231775,5.2588841920435114e-05
0.025500000000000002,73.70339600001252,33725938.333327964,0.9981500000001695,0.5572999999999112,11145.999999993863,2.1853623543864112e-06,0.012691276913603706,0.010975636697961052,0.00020409400712167485,4.370695606103219e-05,2.1853575225804637e-05
0.026000000000000002,73.70339600001252,33598853.33332786,0.9981500000001695,0.5551999999999095,11103.999999993808,2.193628314300345e-06,0.012715256116411357,0.011001263164263073,0.00021370877322910865,0.00012017632319841525,2.193623445873477e-05
0.0265,73.70339600001252,33441509.99999454,0.9981500000001695,0.5525999999999097,11051.999999993837,2.2039494030031704e-06,0.012745133827907335,0.01103384076592096,0.00023379448028981248,9.72127388437826e-05,7.637997596695876e-05
0.027,73.69601200001252,33332579.999994583,0.9980500000001694,0.5507999999999105,11015.99999999388,2.2109303270261253e-06,0.012764663247286801,0.011053292336281169,0.000237373071996762,7.595477355730522e-05,3.410656258052096e-05
0.0275,73.69601200001252,33241804.99999462,0.9980500000001694,0.5492999999999111,10985.999999993915,2.2169678210922793e-06,0.01278207989371334,0.011073734221321309,0.00025279384595072073,0.0001170484849008994,2.216962848183345e-05
0.028,73.68862800001251,33138926.66666133,0.9979500000001694,0.5475999999999117,10951.999999993955,2.2236274801906997e-06,0.01280062251351963,0.011094269400486578,0.00020547301389551158,4.4472248242559264e-05,0.00011909175802542435
0.0285,73.68862800001251,33033022.499994706,0.9979500000001694,0.5458499999999125,10916.999999993997,2.230756449853304e-06,0.01282112553420623,0.011116046620185885,0.0002445589973339536,4.4614825700389305e-05,0.0001141816512028483
0.029,73.68862800001251,32948299.166661408,0.9979500000001694,0.5444499999999131,10888.999999994032,2.2364926221919832e-06,0.012837599074029607,0.011134089131783546,0.0002162189864653849,4.472954758536938e-05,2.2364875609647473e-05
0.029500000000000002,73.68124400001251,32809110.83332813,0.9978500000001694,0.542149999999914,10842.999999994086,2.245755588266832e-06,0.012863512023474263,0.011162286400004363,0.00021687064973540657,0.00011457101209903878,0.00014501743920746613
