epoch,train_loss,val_loss,val_auc,val_ap
1,0.39525189995765686,0.3462221345043182,0.92542662605,0.9176606529716367
2,0.3476919426272313,0.33843655304908754,0.9287964503999999,0.9212655618208889
3,0.3422026839107275,0.3343647134017944,0.9307070777500001,0.9233548749354408
4,0.3384650442749262,0.3302828522491455,0.9322616767,0.9249793894628525
5,0.3356497089068095,0.3284512127113342,0.9329391641,0.9256553545566905
6,0.33336434451242286,0.3265145815563202,0.9336577078500001,0.9263287082234569
7,0.3313193041831255,0.3257623707675934,0.93434206795,0.9271580486546913
8,0.32971611929436523,0.3236052466773987,0.9349577542,0.9276410207791428
9,0.32728278140227,0.3227212708950043,0.9353142959,0.9279707611369086
10,0.3267070719351371,0.3207086084461212,0.9361031120999999,0.9290739607851588
11,0.3259662489096324,0.3203900351142883,0.9361704572999999,0.9291684268015188
12,0.3240750841796398,0.31926823163986207,0.9366824842999999,0.9295415689623575
13,0.32354917501409847,0.31891683594703674,0.9368506566999999,0.9298722861159116
14,0.32332025033732253,0.3187071216964722,0.9371436198499999,0.9301481026481448
15,0.32249898960192996,0.31818227922439574,0.9372172715999999,0.9301977501476393
16,0.3217589600632588,0.3171707362937927,0.93751188115,0.9305903251019474
17,0.3206247103710969,0.3169067043685913,0.9375248957,0.9305886452127589
18,0.32060673274099827,0.3168284968852997,0.9376915932000001,0.9307618407059595
19,0.320036090289553,0.3160772634887695,0.9377733787,0.9307392439109183
20,0.31902636401355267,0.3164947497177124,0.9377597457,0.9309108274893053
21,0.3195077410588662,0.3167009725379944,0.9377501572,0.930504670919097
22,0.318429222330451,0.3151494579219818,0.9382047773500001,0.931152843356001
23,0.3176224250346422,0.3151798731136322,0.9381227867499999,0.9310873558912841
24,0.3178744229177634,0.3154336811351776,0.9380146298,0.9308520962403096
25,0.3173722332964341,0.3157944170665741,0.9380692997,0.9312251041506222
26,0.31675194824735325,0.3148242556667328,0.9382573784999999,0.9312140187780522
27,0.31663137674331665,0.31441261527061465,0.93834939785,0.9314493821853524
28,0.3163586954275767,0.3143143788337707,0.9383640927500001,0.9314218849373183
29,0.31705691665410995,0.31476909548759463,0.93834705485,0.9315047581606897
30,0.31581118268271285,0.31493342717170714,0.9384696121,0.9317624663378125
31,0.3152337384720643,0.3156544091892242,0.9384840878499999,0.9314954017718814
32,0.3154413489003976,0.3139482649421692,0.9386434625,0.9318233601752864
33,0.3154938953618209,0.31546275811195373,0.9383404678499999,0.9311426638260909
34,0.31533420147995156,0.3136410490989685,0.9387688809,0.9318778284579267
35,0.31405362611015636,0.3141154395198822,0.9384900581,0.931587915955564
36,0.3147165297220151,0.3134153038883209,0.9388082911,0.9319360716625696
37,0.3146155457943678,0.3135878377914429,0.9387786901999999,0.931870694113135
38,0.3138606697320938,0.3131000299358368,0.9388524571500001,0.932044156834123
39,0.31411173070470494,0.31284650375366213,0.9389555737499999,0.9320478636145424
40,0.3136688781281312,0.3132566081237793,0.93892284745,0.9320606495949488
41,0.3131861419727405,0.3128821009063721,0.9389066845499999,0.9319691595926965
42,0.31369428150355816,0.3137455330181122,0.93870657555,0.9318420838053904
43,0.31281688064336777,0.3140748907279968,0.93866668955,0.9317661328978278
44,0.3131933913876613,0.31337170375823975,0.93881127565,0.9318824992147919
45,0.3126810993999243,0.3130995179748535,0.9388453995999999,0.9319287385031051
46,0.31200334057211876,0.3135204686069489,0.9386619667,0.9315622944505121
47,0.3120610676705837,0.31268896920204164,0.93902776965,0.9322005364147413
