threshold,signal_yield,background_yield,signal_efficiency,background_efficiency,background_neff,s_over_b,asimov_z_bkg_syst_0,asimov_z_bkg_syst_0.0001,asimov_z_bkg_syst_0.01,asimov_z_bkg_syst_0.05,asimov_z_bkg_syst_0.1
0.0,682.5695760001637,1186262829.1693516,1.00000000000024,1.0000000000022635,392044.9999987882,5.753948949729079e-07,0.019817844838867952,0.005529034847351704,5.753923593874143e-05,0.0003369528310483493,5.753947603607738e-06
0.0005,682.5252720001637,1070557988.3389318,0.9999350923313989,0.9024627274977369,353806.0000016203,6.375416179549169e-07,0.020859965814224397,0.00609250959013209,0.0003879885636808762,0.00031069685271944926,6.375414526924073e-06
0.001,682.5141960001637,1029010270.8383862,0.9999188654141886,0.8674386868896936,340075.0000015851,6.632724816673455e-07,0.021276578310903575,0.006354222217730834,0.00037823182215352845,1.3265444122187752e-05,6.6327230279529525e-06
0.0015,682.4957360001637,998667214.171321,0.9998918205521715,0.8418599905662316,330047.00000155944,6.834065705926757e-07,0.021596804493890266,0.00652357398164571,0.0004047216660086119,1.3668125560952071e-05,6.834063806953113e-06
0.002,682.4514320001637,974711691.6710064,0.9998269128833305,0.8216658801959833,322130.0000015392,7.001572237532069e-07,0.02185916714963468,0.006643874595203756,2.764791607303943e-05,1.400313833364392e-05,0.00046369713120788874
0.0025,682.4255880001637,955167834.1707498,0.9997890500765064,0.8051907306593618,315671.0000015226,7.14456207157171e-07,0.022080830626386442,0.006779773544931421,7.144522970880195e-05,1.4289117748201809e-05,0.0002397818032394891
0.003,682.3923600001636,938050695.0038583,0.9997403693248756,0.7907612646539942,310014.0000015081,7.274578694250175e-07,0.022280295597912662,0.006896097610818271,8.329092524059274e-05,1.4549150758539893e-05,7.274576542518206e-06
0.0035,682.3702080001636,923072820.0036616,0.9997079154904551,0.7781351630583483,305064.0000014954,7.392376779087232e-07,0.0224596002631912,0.00703500899003728,7.392334915639736e-05,0.00036737992799867875,0.0003690199155201649
0.004,682.3295960001636,909753101.6701534,0.9996484167940174,0.7669068601848062,300662.0000014841,7.500162348966126e-07,0.02262207211520915,0.007134449283166099,7.50011925337905e-05,1.5000317650104905e-05,0.0005378009781021118
0.0045000000000000005,682.2889840001636,897413753.336658,0.9995889180975798,0.7565049930520701,296584.0000014737,7.602836277729834e-07,0.022775711016640787,0.007216626726197932,0.00030849544360855825,1.5205665313146571e-05,7.602833927363244e-06
0.005,682.2446800001636,886048723.3365088,0.9995240104287387,0.7469244602049496,292828.0000014641,7.699855121184535e-07,0.0229198251452524,0.007320352764295359,0.0005395974414449371,0.00045780439403118786,7.699852710421543e-06
0.0055,682.2151440001636,875894026.6697087,0.9994807386495113,0.7383642183958612,289472.0000014555,7.788786351176024e-07,0.02305130500181027,0.0073821058248766695,0.0005455215320390897,0.0006520490580479186,0.00045109035211214025
0.006,682.1856080001636,866147817.5029141,0.9994374668702839,0.7301483248121086,286251.0000014473,7.876087593996257e-07,0.02317962940054202,0.007446336844156739,0.000291764042106325,1.5752167415185635e-05,0.0004285807923578436
0.006500000000000001,682.1449960001636,857324487.5027982,0.9993779681738463,0.7227104031448554,283335.00000143977,7.956672251216166e-07,0.023297215977671256,0.0075297478024157,0.0004141081218472908,0.000213117950939832,0.00010629734960370207
0.007,682.1191520001636,848719017.5026852,0.9993401053670222,0.7154561338644478,280491.00000143243,8.037043331575935e-07,0.023414140412528275,0.00759308327763194,8.036993830804353e-05,0.00020219263159070548,0.00044566495499609806
0.0075,682.0859240001636,840954729.1692499,0.9992914246153914,0.7089109668554726,277925.0000014259,8.110851872775276e-07,0.02352083416384782,0.007686713930719641,0.0002656809889332404,0.0004522758004143233,8.110849197671985e-06
0.008,682.0674640001636,833396197.502484,0.9992643797533743,0.7025392493229629,275427.0000014195,8.184192177072306e-07,0.023626615671779733,0.0077444530483604486,8.184140843392988e-05,1.6368375960634274e-05,8.18418945335914e-06
0.0085,682.0453120001636,826349031.6690581,0.9992319259189538,0.6965986047540216,273098.0000014136,8.253719504245922e-07,0.023726375924397223,0.007781365487521015,0.0005600345593394422,0.0005043970164776099,0.00025207962152614093
0.009000000000000001,682.0194680001636,819468286.6689677,0.9991940631121298,0.6907982502028096,270824.0000014077,8.322707285872944e-07,0.023824875281146896,0.007868732257819743,0.0001004384808097931,0.00039080323205605043,0.00046912634330589206
0.0095,681.9788560001635,813180605.0022185,0.9991345644156922,0.6854978382602335,268746.0000014024,8.38656076897337e-07,0.023915383164040897,0.007916228918682027,8.386506858589673e-05,0.0002146279642187408,8.386557908830709e-06
0.01,681.9234760001635,807259049.1688074,0.9990534298296407,0.6805060643566619,266789.0000013974,8.44739339499885e-07,0.02400098798746288,0.007969609707207283,0.0004892190223355923,1.6894777847057315e-05,8.447390493170655e-06
0.0105,681.8865560001635,801255795.8353952,0.9989993401056065,0.6754454208080232,264805.00000139227,8.510223071637485e-07,0.02408942725739963,0.008010769812276953,0.00039888193929755333,0.0004900728431927508,8.510220126453823e-06
0.011,681.8385600001635,795449221.6686523,0.9989290234643621,0.6705505745530648,262886.0000013874,8.571742122895511e-07,0.02417548890129965,0.008090413630856939,0.0005909889653454753,1.7143475037089422e-05,8.5717391349395e-06
0.0115,681.8016400001635,790078367.5019151,0.9988749337403278,0.6660230330717978,261111.00000138284,8.629544460961474e-07,0.024256207194030648,0.008128912203378585,8.629487367258764e-05,0.0003749045599830681,0.00018727736059523194
0.012,681.7684120001635,784740797.501845,0.998826252988697,0.6615235495940767,259347.0000013783,8.687816590784049e-07,0.024337372918635247,0.008175065100354277,8.687758720718643e-05,1.737562372132263e-05,0.0003779977400822421
0.0125,681.7351840001635,779717914.1684457,0.9987775722370662,0.6572893417862439,257687.00000137405,8.743356688517553e-07,0.024414446835174918,0.008242327257003476,8.74329807344633e-05,1.748670379522817e-05,8.743353579635344e-06
0.013000000000000001,681.6613440001635,775030898.3350508,0.9986693927889977,0.653338264741465,256138.00000137006,8.795279587749764e-07,0.024485506625908256,0.008271672221996476,8.795220268291613e-05,1.759054947905889e-05,8.795276441771937e-06
0.0135,681.6355000001635,770247055.834988,0.9986315299821737,0.6493055644136435,254557.00000136602,8.849569691132867e-07,0.02456049486604117,0.008319179075144843,8.849509634924831e-05,0.0003108591949717377,8.84956650617542e-06
0.014,681.5875040001634,765629634.1682607,0.9985612133409292,0.6454131541035515,253031.0000013621,8.902313515340924e-07,0.02463270965241675,0.008364617030944268,0.0003752901873933442,0.0003642900490914592,0.00034367002216570397
0.0145,681.5468920001634,761133245.8348683,0.9985017146444916,0.6416227728972627,251545.0000013583,8.954370285751892e-07,0.024703889201478143,0.00842706508574195,8.954308791056786e-05,1.7908730520318518e-05,0.00024232446203436238
0.015,681.4841280001634,756718555.001477,0.9984097621136333,0.637901261336041,250086.00000135458,9.005780596972851e-07,0.02477356392362896,0.008456103759038451,4.7169649406268386e-05,0.00017684802591788767,8.801929685733327e-05
0.0155,681.4435160001634,752376484.1680866,0.9983502634171957,0.6342409672371011,248651.00000135088,9.057214444356872e-07,0.024843466326390836,0.008499613441887963,9.057151519850263e-05,0.0003680162672747126,9.057211108013893e-06
0.016,681.3992120001634,748364229.168034,0.9982853557483545,0.630858702446025,247325.0000013475,9.105181480382668e-07,0.02490835523207143,0.008548937027437307,0.00041165371811852054,0.0002778422882348489,0.00013865812675981694
0.0165,681.3733680001634,744279354.1679803,0.9982474929415306,0.6274152201926672,245975.00000134404,9.154806783023847e-07,0.02497566741325313,0.008596914070349565,0.0004113208985030464,0.0002518457201858072,0.00012562945183612674
0.017,681.3290640001634,740491010.8345972,0.9981825852726895,0.624221709243627,244723.00000134084,9.201044361527721e-07,0.025037845394911985,0.008637158852608748,0.0005470111569173071,1.8402078108876115e-05,0.00036341402536104004
