target_signal_efficiency,threshold,signal_efficiency,background_efficiency,signal_yield,background_yield,background_neff
0.5,0.9019661545753479,0.5,0.022275504087540983,341.284788,26424602.500000004,8733.000000000005
0.25,0.9624574780464172,0.25000811345860513,0.00538203522554809,170.647932,6384508.333333334,2110.000000000001
0.1,0.9816951751708984,0.1000010817944807,0.0012524072491678258,68.25769600000001,1485684.166666667,491.0000000000002
0.01,0.9931013584136963,0.010001189973928754,7.652182785139461e-05,6.8265080000000005,90774.99999999997,29.999999999999982
