epoch,training_loss
1,0.3408227601236377
2,0.3211312414112606
3,0.3169232932491831
4,0.3144333907626627
5,0.31307040580705603
6,0.31178036975576934
7,0.31103944759432783
8,0.3107651303705794
9,0.309984474299447
10,0.30946907084557934
11,0.3089442440190014
12,0.3088548652682148
13,0.3083959705195185
14,0.3080407440567325
15,0.30802428238558405
16,0.308274498126774
17,0.30735825777934395
18,0.30720200826908406
19,0.3068631747699872
20,0.3067938872084007
21,0.30698876787543816
22,0.3064293972557352
23,0.3064902448729014
24,0.3061987190495344
25,0.30591531230286456
26,0.30600810817212964
27,0.30566317979788915
28,0.30554091595992117
29,0.3054068055503174
30,0.30526104419757855
31,0.30537817711739873
32,0.3049566764421469
33,0.3049892428739924
34,0.304610795628775
35,0.3045640005064828
36,0.3046659555778715
37,0.3042416516764298
38,0.3042015509470152
39,0.3040646863272896
40,0.3038110479669771
41,0.3037964968542433
42,0.30353950655613254
43,0.30351109769638956
44,0.30350912331780516
45,0.3033720270399837
46,0.30310220895539924
47,0.30304859166433884
48,0.3029582113600915
