epoch,train_loss,val_loss,val_auc,val_ap
1,0.3894886455188195,0.3466298699760437,0.92550950765,0.9176714072348235
2,0.34753440630932647,0.3394688699531555,0.9289824829,0.9211297909725433
3,0.34184815796713036,0.33353131404876707,0.9306998553000001,0.9230735109651436
4,0.33913253992795944,0.3316051549911499,0.93168320995,0.92396317700389
5,0.33625885533789796,0.32954806953430177,0.9326310819,0.9250756501450506
6,0.3336031412084897,0.32843549275398254,0.9331011889999999,0.9254202376875789
7,0.33223826127747697,0.32655508224487306,0.9336672762,0.9259121361208871
8,0.3297035899013281,0.324168902797699,0.93505508775,0.9274781470489495
9,0.3285709507763386,0.32364863400459287,0.9350703221000001,0.927667370213141
10,0.32771112211048603,0.3210983477401733,0.9357297677,0.9282458207826514
11,0.32553906614581746,0.3207211160469055,0.93607778355,0.9286930041391924
12,0.3252924333016078,0.31950469616889954,0.9365335429999999,0.9293288481043723
13,0.3243804033845663,0.3195173272037506,0.93641634245,0.9292159424484472
14,0.32416568882763386,0.3186811253929138,0.93694781565,0.9297483677459798
15,0.3223672943810622,0.3176474408149719,0.93718030595,0.9299794023399982
16,0.3219772024701039,0.3188805757713318,0.9373656266,0.9299894358354303
17,0.3216152358800173,0.3176123990058899,0.9374722977,0.9301399071256589
18,0.32117937815686065,0.3173077772808075,0.9374364975,0.9301067015748011
19,0.32071592348317307,0.3162087141418457,0.9378169658,0.9307330778919404
20,0.3201320202400287,0.3166199958896637,0.93786350315,0.9308527566948579
21,0.3201730400323868,0.31564986333847045,0.9379217601,0.9308264622104744
22,0.3192092950145404,0.315848610496521,0.93790790685,0.9308999872594348
23,0.3189934752881527,0.31678029528617857,0.9378430958,0.9307761814436268
24,0.3187827200939258,0.31518749413490293,0.9381293729,0.931102054053943
25,0.3175353029121955,0.3153705107688904,0.9382147822,0.9312591142204616
26,0.31768496955434483,0.314609486284256,0.9384267691,0.9315707726618376
27,0.31718727573752403,0.3145493345832825,0.9383406707499999,0.9313211388173206
28,0.3161955177783966,0.31510050312042237,0.93828522585,0.9312717369709836
29,0.3165441894282897,0.31413228636741636,0.9385031538499999,0.9315906975865296
30,0.31643348559737206,0.31416140029907225,0.9384112976500001,0.9314203027256712
31,0.31566191154221696,0.3147268740272522,0.93839924145,0.9313097126547648
32,0.3163751798371474,0.3134541920375824,0.9387513944500001,0.9318648231727906
33,0.31521883234381676,0.31434856716156007,0.93842003005,0.9314516510088227
34,0.31560177976886433,0.3143305956268311,0.9385046348500001,0.9316010711790654
35,0.3142989755918582,0.3134624217319488,0.938815476,0.9318805566959791
36,0.31516881473362446,0.3137544194984436,0.9386562766000001,0.9317933241662313
37,0.31526824459433556,0.31395283623695375,0.9385837249,0.9317012867773287
38,0.314201923708121,0.3142750865650177,0.93875669355,0.9318902087423198
39,0.3141323483238618,0.3140649029636383,0.9385955671,0.9316930441556425
40,0.3143961615860462,0.3144817134952545,0.93864880605,0.9316173295332515
